,employer,min_pos_salary,max_pos_salary,overtime_pay,lump_sum_pay,other_pay,retirement_cost_covered,health_benefits,DOB,pension,employer_url,location
51,20,22879.56,38749.56,0.0,,10997.25,,0.0,11-03-1975,,saurashtrauniversity.edu,Rajkot
52,8,50148.0,71304.0,0.0,0.0,3532.99,,8998.68,13-10-1985,2.00% @ 55,gtu.ac.in,Ahmedabad
53,10,28152.0,66204.0,0.0,0.0,0.0,0.0,0.0,22-02-1981,,www.guts.education,Ahmedabad
54,14,59076.0,131088.0,0.0,0.0,999.99,0.0,0.0,27-06-1972,2.00% @ 62,www.mkbhavuni.edu.in,
55,19,22879.56,38749.56,0.0,0.0,1750.89,,0.0,04-05-1986,,sdau.edu.in,Palanpur
56,22,49512.0,66192.0,0.0,0.0,2592.6,0.0,0.0,20-03-1955,Part-Time Seasonal and Temporary (PST) Retirement Plan,sggu.ac.in,Godhra
57,14,49512.0,66192.0,0.0,0.0,0.0,,0.0,05-02-1981,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.mkbhavuni.edu.in,
58,10,36120.0,63480.0,0.0,0.0,0.0,0.0,777.43,27-05-1971,2.00% @ 55,www.guts.education,
59,14,59076.0,131088.0,0.0,0.0,0.0,,0.0,17-03-1977,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.mkbhavuni.edu.in,
60,6,22879.56,38749.56,0.0,0.0,3401.95,,0.0,06-03-1973,,gfsu.edu.in,Gandhinagar
61,2,31200.0,53496.0,0.0,0.0,650.0,0.0,9237.72,25-05-1963,2.00% @ 55,ddu.ac.in,Nadiad
62,15,22879.56,38749.56,0.0,0.0,2530.0,0.0,0.0,08-08-1966,Part-Time Seasonal and Temporary (PST) Retirement Plan,msubaroda.ac.in,
63,16,22879.56,38749.56,0.0,0.0,1121.0,0.0,0.0,03-09-1977,,www.nau.in,Navsari
64,12,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,25-11-1983,Part-Time Seasonal and Temporary (PST) Retirement Plan,iitram.ac.in,Ahmedabad
65,19,50796.0,114168.0,0.0,0.0,0.0,0.0,23270.64,12-01-1952,2.00% @ 62,sdau.edu.in,Palanpur
66,6,59076.0,131088.0,0.0,0.0,4967.82,0.0,5703.2,01-06-1987,2.00% @ 62,gfsu.edu.in,Gandhinagar
67,20,22879.56,38749.56,0.0,,8235.5,,0.0,09-03-1952,,saurashtrauniversity.edu,
68,12,37152.0,65268.0,14256.26,0.0,9240.09,0.0,17631.72,18-03-1989,2.00% @ 55,iitram.ac.in,Ahmedabad
69,16,34152.0,59976.0,0.0,,1048.76,0.0,23390.28,14-02-1975,2.00% @ 62,www.nau.in,Navsari
70,9,39456.0,73944.0,0.0,0.0,650.0,0.0,9237.72,22-10-1984,2.00% @ 62,gujaratuniversity.org.in,Ahmedabad
71,20,49512.0,66192.0,0.0,0.0,0.0,,0.0,01-10-1955,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,
72,15,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,05-11-1989,Part-Time Seasonal and Temporary (PST) Retirement Plan,msubaroda.ac.in,Vadodara
73,8,39456.0,73944.0,0.0,0.0,1656.86,,9237.72,07-10-1983,2.00% @ 62,gtu.ac.in,
74,6,22879.56,38749.56,0.0,0.0,10219.0,,0.0,07-10-1971,,gfsu.edu.in,Gandhinagar
75,19,22879.56,38749.56,0.0,,2366.0,0.0,0.0,16-11-1962,,sdau.edu.in,Palanpur
76,19,22879.56,38749.56,0.0,0.0,352.0,,0.0,15-05-1962,,sdau.edu.in,Palanpur
77,9,50148.0,71304.0,0.0,0.0,1023.79,,23270.64,23-03-1989,2.00% @ 62,gujaratuniversity.org.in,Ahmedabad
78,3,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,10-05-1979,Part-Time Seasonal and Temporary (PST) Retirement Plan,baou.edu.in,Ahmedabad
79,2,22879.56,38749.56,0.0,0.0,1111.2,,0.0,12-07-1973,,ddu.ac.in,Nadiad
80,19,22879.56,38749.56,0.0,,2500.8,0.0,0.0,06-11-1954,,sdau.edu.in,Palanpur
81,10,49512.0,66192.0,0.0,0.0,0.0,,-2019.07,17-08-1984,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.guts.education,Ahmedabad
82,3,59076.0,131088.0,0.0,0.0,0.0,0.0,302.41,13-03-1970,Part-Time Seasonal and Temporary (PST) Retirement Plan,baou.edu.in,Ahmedabad
83,2,49512.0,66192.0,0.0,0.0,0.0,,0.0,25-02-1971,,ddu.ac.in,Nadiad
84,22,30024.0,108996.0,0.0,0.0,60.0,,9319.08,03-06-1989,2.00% @ 62,sggu.ac.in,Godhra
85,9,49512.0,66192.0,0.0,0.0,0.0,0.0,0.0,23-04-1975,Part-Time Seasonal and Temporary (PST) Retirement Plan,gujaratuniversity.org.in,Ahmedabad
86,1,85188.0,150792.0,0.0,7989.28,0.0,,13313.43,07-05-1986,,www.bknmu.edu.in,
87,12,85188.0,150792.0,0.0,0.0,18752.81,0.0,6302.36,05-01-1977,,iitram.ac.in,
88,15,67656.0,143952.0,0.0,0.0,51917.22,0.0,23270.64,02-03-1956,2.00% @ 55,msubaroda.ac.in,Vadodara
89,19,28079.4,41432.76,0.0,0.0,0.0,,0.0,20-06-1955,,sdau.edu.in,
90,6,59076.0,131088.0,0.0,0.0,0.0,0.0,8125.56,19-09-1956,2.00% @ 62,gfsu.edu.in,
91,10,31200.0,48888.0,534.21,0.0,3641.15,0.0,6120.99,06-03-1956,2.00% @ 62,www.guts.education,Ahmedabad
92,19,22879.56,38749.56,0.0,,231.0,,0.0,06-07-1970,,sdau.edu.in,Palanpur
93,19,67656.0,143952.0,0.0,0.0,0.0,0.0,9478.6,12-09-1957,2.00% @ 62,sdau.edu.in,Palanpur
94,23,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,01-01-1970,Part-Time Seasonal and Temporary (PST) Retirement Plan,vnsgu.ac.in,Surat
95,3,56316.0,98904.0,0.0,0.0,650.0,,23270.64,14-09-1958,2.00% @ 55,baou.edu.in,Ahmedabad
96,14,62484.0,79848.0,0.0,0.0,350.13,0.0,23510.64,16-04-1972,2.00% @ 60,www.mkbhavuni.edu.in,Bhavnagar
97,11,50148.0,71304.0,0.0,,1148.79,0.0,9319.08,22-10-1963,2.00% @ 62,ngu.ac.in,Patan
98,11,49512.0,66192.0,0.0,0.0,0.0,,0.0,18-06-1985,Part-Time Seasonal and Temporary (PST) Retirement Plan,ngu.ac.in,Patan
99,14,59076.0,131088.0,0.0,0.0,18649.0,0.0,9090.12,23-02-1979,2.00% @ 62,www.mkbhavuni.edu.in,Bhavnagar
100,5,49512.0,66192.0,0.0,0.0,138.0,,9080.04,17-06-1975,2.00% @ 55,ayurveduniversity.edu.in,
101,15,22879.56,38749.56,0.0,0.0,4608.0,0.0,0.0,17-06-1976,,msubaroda.ac.in,Vadodara
102,15,28079.4,41432.76,0.0,0.0,0.0,,0.0,10-05-1950,,msubaroda.ac.in,Vadodara
103,14,22879.56,38749.56,0.0,0.0,1603.8,,0.0,14-10-1955,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.mkbhavuni.edu.in,Bhavnagar
104,3,22879.56,38749.56,0.0,0.0,8868.0,,0.0,12-05-1968,,baou.edu.in,Ahmedabad
105,15,49512.0,66192.0,0.0,0.0,3743.19,,769.81,07-05-1958,2.00% @ 62,msubaroda.ac.in,Vadodara
106,10,97968.0,187176.0,0.0,0.0,100.0,0.0,8998.68,08-09-1987,2.00% @ 55,www.guts.education,Ahmedabad
107,13,38688.0,67980.0,0.0,0.0,650.0,0.0,9329.16,04-05-1976,2.00% @ 62,kskvku.digitaluniversity.ac,Bhuj
108,15,22879.56,291194.4,0.0,0.0,0.0,,0.0,25-07-1961,Part-Time Seasonal and Temporary (PST) Retirement Plan,msubaroda.ac.in,
109,8,22879.56,38749.56,0.0,0.0,150.0,,0.0,18-05-1966,,gtu.ac.in,Ahmedabad
110,11,28152.0,66204.0,0.0,0.0,365.47,0.0,0.0,06-11-1987,,ngu.ac.in,Patan
111,18,49512.0,66192.0,0.0,0.0,0.0,,0.0,11-04-1983,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,Vallabh Vidhyanagar
112,1,28079.4,41432.76,0.0,0.0,0.0,,0.0,18-07-1979,,www.bknmu.edu.in,
113,22,22879.56,38749.56,0.0,0.0,0.0,,0.0,18-05-1960,,sggu.ac.in,Godhra
114,22,132.0,2880.0,0.0,0.0,4075.0,,0.0,23-03-1983,,sggu.ac.in,Godhra
115,15,22879.56,38749.56,0.0,0.0,5053.75,0.0,0.0,27-03-1959,,msubaroda.ac.in,Vadodara
116,22,52464.0,125736.0,0.0,48.36,0.0,0.0,0.0,26-01-1982,2.00% @ 55,sggu.ac.in,Godhra
117,20,67656.0,143952.0,0.0,0.0,375.87,0.0,0.0,21-09-1981,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,Rajkot
118,22,64992.0,121776.0,0.0,0.0,663.55,0.0,17631.72,06-11-1966,2.00% @ 55,sggu.ac.in,Godhra
119,22,22879.56,38749.56,0.0,0.0,261.05,,0.0,20-04-1950,,sggu.ac.in,Godhra
120,0,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,22-06-1984,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.aau.in,
121,9,22879.56,38749.56,0.0,0.0,2830.8,0.0,0.0,14-01-1951,,gujaratuniversity.org.in,Ahmedabad
122,6,49512.0,66192.0,0.0,,0.0,,0.0,23-07-1962,Part-Time Seasonal and Temporary (PST) Retirement Plan,gfsu.edu.in,Gandhinagar
123,23,59076.0,131088.0,0.0,0.0,0.0,,0.0,19-10-1981,Part-Time Seasonal and Temporary (PST) Retirement Plan,vnsgu.ac.in,
124,0,85188.0,162768.0,0.0,0.0,23062.94,,23270.64,05-02-1988,2.00% @ 55,www.aau.in,Anand
125,2,32556.0,59856.0,0.0,,5329.65,0.0,11702.32,12-08-1982,2.00% @ 62,ddu.ac.in,Nadiad
126,18,30024.0,108996.0,0.0,0.0,0.0,0.0,0.0,02-05-1965,2.00% @ 62,spuvvn.edu,Vallabh Vidhyanagar
127,2,74988.0,140976.0,0.0,0.0,650.0,0.0,23270.64,16-01-1960,2.00% @ 55,ddu.ac.in,Nadiad
128,10,40656.0,78576.0,0.0,17.18,0.0,0.0,0.0,13-06-1969,2.00% @ 55,www.guts.education,Ahmedabad
129,3,59076.0,131088.0,0.0,0.0,980.0,0.0,52.29,22-09-1979,Part-Time Seasonal and Temporary (PST) Retirement Plan,baou.edu.in,
130,1,22879.56,38749.56,0.0,0.0,510.75,0.0,0.0,27-05-1981,,www.bknmu.edu.in,Junagadh
131,6,28079.4,41432.76,0.0,0.0,0.0,,0.0,06-10-1965,,gfsu.edu.in,Gandhinagar
132,10,22879.56,38749.56,0.0,0.0,3527.75,0.0,0.0,25-04-1959,,www.guts.education,Ahmedabad
133,5,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,02-07-1987,,ayurveduniversity.edu.in,
134,6,59076.0,131088.0,0.0,0.0,5719.6,0.0,17631.72,03-11-1973,2.00% @ 55,gfsu.edu.in,Gandhinagar
135,14,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,07-03-1974,,www.mkbhavuni.edu.in,
136,12,28079.4,41432.76,0.0,0.0,0.0,,0.0,05-11-1979,,iitram.ac.in,Ahmedabad
137,10,49512.0,66192.0,0.0,0.0,0.0,,0.0,19-10-1985,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.guts.education,Ahmedabad
138,9,67656.0,143952.0,0.0,0.0,6223.6,0.0,9319.08,20-02-1956,2.00% @ 55,gujaratuniversity.org.in,
139,19,22879.56,38749.56,0.0,0.0,594.0,0.0,0.0,16-11-1966,,sdau.edu.in,Palanpur
140,12,34152.0,59976.0,0.0,1871.39,650.0,0.0,406.41,03-03-1982,2.00% @ 62,iitram.ac.in,Ahmedabad
141,3,22879.56,38749.56,0.0,0.0,1735.8,0.0,0.0,21-10-1986,,baou.edu.in,Ahmedabad
142,6,22879.56,38749.56,0.0,0.0,829.08,,0.0,11-01-1964,,gfsu.edu.in,
143,21,32304.0,56724.0,32008.05,0.0,1198.6,,9237.72,01-03-1961,2.00% @ 55,sssu.ac.in,
144,22,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,12-10-1961,,sggu.ac.in,
145,18,49512.0,66192.0,0.0,0.0,0.0,,390.12,26-06-1969,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar
146,19,22879.56,38749.56,0.0,0.0,4445.0,,0.0,24-06-1978,,sdau.edu.in,Palanpur
147,6,70896.0,132840.0,0.0,0.0,244.68,0.0,512.0,08-10-1955,Part-Time Seasonal and Temporary (PST) Retirement Plan,gfsu.edu.in,
148,22,22879.56,291194.4,0.0,0.0,0.0,,0.0,20-11-1973,Part-Time Seasonal and Temporary (PST) Retirement Plan,sggu.ac.in,Godhra
149,7,39456.0,73944.0,0.0,0.0,650.0,0.0,823.08,23-03-1969,2.00% @ 60,gnlu.ac.in,
150,20,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,02-11-1985,,saurashtrauniversity.edu,Rajkot
151,6,56472.0,75924.0,0.0,0.0,4746.0,0.0,9084.24,03-03-1978,2.00% @ 62,gfsu.edu.in,Gandhinagar
152,0,30024.0,108996.0,0.0,0.0,90.0,0.0,22015.08,06-08-1979,2.00% @ 55,www.aau.in,
153,10,49512.0,66192.0,0.0,,16421.94,0.0,67.23,14-07-1987,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.guts.education,Ahmedabad
154,20,85188.0,150792.0,0.0,,0.0,0.0,17631.72,08-04-1988,2.00% @ 55,saurashtrauniversity.edu,Rajkot
155,18,26928.0,38172.0,0.0,0.0,0.0,0.0,0.0,08-10-1966,,spuvvn.edu,
156,15,22879.56,38749.56,0.0,0.0,0.0,,0.0,21-01-1968,Part-Time Seasonal and Temporary (PST) Retirement Plan,msubaroda.ac.in,Vadodara
157,18,59076.0,131088.0,0.0,0.0,2191.71,0.0,0.0,05-05-1960,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,
158,23,22879.56,38749.56,0.0,0.0,1958.0,,0.0,27-05-1955,,vnsgu.ac.in,Surat
159,15,46764.0,82152.0,0.0,0.0,650.0,0.0,9329.16,20-08-1959,2.00% @ 62,msubaroda.ac.in,Vadodara
160,19,22879.56,38749.56,0.0,0.0,3260.1,,0.0,05-04-1965,,sdau.edu.in,Palanpur
161,18,62340.0,88932.0,0.0,0.0,1023.79,0.0,9237.72,24-06-1969,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar
162,7,42180.0,74076.0,0.0,0.0,2655.0,0.0,23270.64,18-04-1980,2.00% @ 62,gnlu.ac.in,Gandhinagar
163,8,32832.0,57672.0,0.0,0.0,325.0,,89.64,03-07-1989,2.00% @ 55,gtu.ac.in,Ahmedabad
164,8,49512.0,66192.0,0.0,0.0,2595.2,,1769.64,02-11-1964,2.00% @ 60,gtu.ac.in,Ahmedabad
165,6,31200.0,53496.0,0.0,0.0,0.0,0.0,5999.12,23-10-1971,2.00% @ 62,gfsu.edu.in,Gandhinagar
166,23,40932.0,50076.0,0.0,,0.0,,0.0,19-07-1985,Part-Time Seasonal and Temporary (PST) Retirement Plan,vnsgu.ac.in,Surat
167,16,67656.0,143952.0,0.0,0.0,8256.0,,23270.64,01-11-1961,2.00% @ 60,www.nau.in,
168,1,22879.56,38749.56,0.0,,4269.68,,0.0,24-07-1983,,www.bknmu.edu.in,Junagadh
169,17,22879.56,38749.56,0.0,0.0,8541.0,0.0,0.0,16-02-1981,,rsu.ac.in,Ahmedabad
170,14,49512.0,66192.0,0.0,0.0,3277.33,0.0,13107.26,08-07-1986,2.00% @ 62,www.mkbhavuni.edu.in,Bhavnagar
171,12,22879.56,38749.56,0.0,0.0,1651.1,0.0,0.0,09-09-1964,,iitram.ac.in,
172,20,59076.0,131088.0,0.0,0.0,0.0,,22.41,17-01-1970,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,Rajkot
173,20,49512.0,66192.0,0.0,0.0,818.4,,0.0,26-01-1967,,saurashtrauniversity.edu,Rajkot
174,18,28080.0,52920.0,0.0,,300.0,,0.0,10-05-1988,,spuvvn.edu,Vallabh Vidhyanagar
175,19,22879.56,38749.56,0.0,0.0,2280.3,,0.0,02-07-1950,,sdau.edu.in,Palanpur
176,15,59076.0,131088.0,0.0,0.0,0.0,,0.0,25-06-1985,Part-Time Seasonal and Temporary (PST) Retirement Plan,msubaroda.ac.in,Vadodara
177,10,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,07-05-1981,,www.guts.education,Ahmedabad
178,7,44712.0,157800.0,0.0,0.0,90.0,,21569.28,13-02-1950,2.00% @ 55,gnlu.ac.in,Gandhinagar
179,18,50796.0,114168.0,0.0,0.0,0.0,,9084.24,12-11-1957,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar
180,3,11412.0,23688.0,0.0,0.0,1899.0,,0.0,24-03-1961,Part-Time Seasonal and Temporary (PST) Retirement Plan,baou.edu.in,Ahmedabad
181,16,85188.0,150792.0,0.0,0.0,0.0,,17631.72,18-03-1976,2.00% @ 55,www.nau.in,Navsari
182,19,34152.0,59976.0,0.0,,650.0,,17631.72,18-04-1970,2.00% @ 62,sdau.edu.in,Palanpur
183,5,22879.56,38749.56,0.0,0.0,1653.3,,0.0,02-03-1960,,ayurveduniversity.edu.in,Jamnagar
184,10,59076.0,131088.0,0.0,0.0,600.0,,1769.64,05-08-1987,2.00% @ 62,www.guts.education,Ahmedabad
185,22,46764.0,82152.0,0.0,1413.46,650.0,0.0,7698.1,08-07-1967,2.00% @ 62,sggu.ac.in,
186,12,22879.56,38749.56,0.0,0.0,896.0,0.0,0.0,07-11-1979,,iitram.ac.in,
187,13,22879.56,38749.56,0.0,0.0,7834.25,0.0,0.0,03-05-1988,,kskvku.digitaluniversity.ac,Bhuj
188,3,22879.56,38749.56,0.0,0.0,3303.4,0.0,0.0,09-08-1950,,baou.edu.in,
189,14,49512.0,66192.0,0.0,0.0,8593.4,,1469.31,21-03-1953,2.00% @ 55,www.mkbhavuni.edu.in,Bhavnagar
190,14,22879.56,38749.56,0.0,0.0,66.0,0.0,0.0,12-09-1962,,www.mkbhavuni.edu.in,Bhavnagar
191,10,85188.0,150792.0,0.0,0.0,0.0,0.0,9319.08,16-04-1955,2.00% @ 55,www.guts.education,Ahmedabad
192,18,49512.0,66192.0,0.0,0.0,0.0,,0.0,10-04-1976,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,
193,4,22879.56,38749.56,0.0,0.0,4185.6,,0.0,25-04-1980,,gu.ac.in,Mehsana
194,10,34152.0,59976.0,0.0,,650.0,0.0,21002.0,11-01-1973,2.00% @ 55,www.guts.education,
195,18,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,24-06-1967,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,Vallabh Vidhyanagar
196,20,22879.56,38749.56,0.0,0.0,5312.0,0.0,0.0,09-01-1988,,saurashtrauniversity.edu,Rajkot
197,2,31200.0,53940.0,0.0,0.0,650.0,,22799.75,14-05-1960,2.00% @ 62,ddu.ac.in,
198,14,44712.0,157800.0,0.0,0.0,138.0,0.0,17631.72,25-09-1951,2.00% @ 55,www.mkbhavuni.edu.in,
199,10,22879.56,38749.56,0.0,0.0,891.0,0.0,0.0,20-01-1963,,www.guts.education,Ahmedabad
200,6,49512.0,66192.0,0.0,0.0,-32.18,,17586.9,22-07-1984,Part-Time Seasonal and Temporary (PST) Retirement Plan,gfsu.edu.in,Gandhinagar
201,18,22879.56,38749.56,0.0,0.0,4675.0,0.0,0.0,17-03-1972,,spuvvn.edu,Vallabh Vidhyanagar
202,13,14496.0,38028.0,0.0,0.0,2664.0,,0.0,13-09-1971,Part-Time Seasonal and Temporary (PST) Retirement Plan,kskvku.digitaluniversity.ac,
203,2,49512.0,66192.0,0.0,,17925.92,,0.0,08-04-1968,Part-Time Seasonal and Temporary (PST) Retirement Plan,ddu.ac.in,Nadiad
204,4,31200.0,48888.0,0.0,0.0,650.0,,9237.72,23-11-1959,2.00% @ 55,gu.ac.in,
205,13,22879.56,38749.56,0.0,0.0,63.0,0.0,0.0,16-04-1982,,kskvku.digitaluniversity.ac,Bhuj
206,0,22879.56,38749.56,0.0,0.0,2757.6,0.0,0.0,24-11-1964,,www.aau.in,Anand
207,20,85188.0,150792.0,0.0,0.0,0.0,0.0,0.0,03-10-1974,,saurashtrauniversity.edu,Rajkot
208,15,22879.56,38749.56,0.0,0.0,2860.0,,0.0,20-04-1975,,msubaroda.ac.in,
209,5,59076.0,131088.0,0.0,0.0,13266.4,,17631.72,19-05-1978,2.00% @ 55,ayurveduniversity.edu.in,Jamnagar
