,Id,game_seq,season_end,date,season_game_seq,playoff,team_id,Elo,opp_team_id,opp_Elo,win_equivalent,bet_ratio,home_crowd,opp_crowd,total_crowd
30,45031,49897,2005,3/17/2005,64,0.0,18,1595.1812,9,1399.8248,51.261387,0.84556186,8300,1800,10100
31,45032,24678,1983,4/6/1983,76,0.0,36,,16,,,0.58829236,6900,2400,9300
32,45033,26946,1986,11/16/1985,10,0.0,16,1606.7646,20,1410.6868,51.818295,0.84610349,8400,4400,12800
33,45034,39925,1997,1/30/1997,42,0.0,20,,48,,32.387962,0.83824641,7800,5300,13100
34,45035,50777,2006,1/13/2006,34,0.0,1,1419.8103,7,1307.9564,,0.77198064,8100,3800,11900
35,45036,5722,1963,12/13/1962,28,0.0,0,1647.592,3,1408.6676,56.82264300000001,0.87555629,4400,4800,9200
36,45037,52711,2007,4/7/2007,76,0.0,15,1418.0446,0,1381.7493,32.965717,0.68666607,8800,1000,9800
37,45038,54622,2009,12/25/2008,29,0.0,10,1695.6786,27,1373.7694,59.831329000000004,0.91899014,6600,4500,11100
38,45039,20906,1980,10/17/1979,3,0.0,25,1526.9717,7,1545.4454,43.834247999999995,0.6152187,3300,900,4200
39,45040,62325,2015,12/31/2014,33,0.0,20,,1,1368.6779999999999,54.570473,0.89238679,7700,5300,13000
40,45041,34876,1993,1/5/1993,29,0.0,1,1630.4299,10,,,0.64543289,9000,1100,10100
41,45042,4015,1958,12/14/1957,24,0.0,28,1459.4773,33,1546.5902,34.284335999999996,0.51853752,7900,4100,12000
42,45043,39959,1997,2/4/1997,46,0.0,12,1395.2695,7,1626.7911,30.159111,0.31927639,8200,1600,9800
43,45044,14662,1974,11/15/1973,17,0.0,1,1573.0789,41,1322.5507,,0.88265359,6800,3700,10500
44,45045,58835,2012,3/22/2012,47,0.0,9,1476.4064,29,1567.6444,38.759682,0.5126068,3900,4400,8300
45,45046,25317,1984,2/3/1984,44,0.0,14,1513.7922,13,1502.4414,43.242668,0.65497655,4400,5100,9500
46,45047,13986,1973,2/2/1973,54,0.0,3,1415.6427,4,1170.3002,35.668369,0.87952626,4600,2100,6700
47,45048,34176,1992,3/14/1992,65,0.0,23,1283.7007,5,1769.473,21.023395999999998,0.09790837,6300,3400,9700
48,45049,39644,1997,12/19/1996,26,0.0,21,,24,1371.1638,31.078328999999997,0.66381186,4500,3900,8400
49,45050,7082,1966,3/6/1966,73,0.0,2,1546.9097,32,1467.9181,46.814411,0.73698539,9200,3600,12800
50,45051,53389,2008,1/8/2008,35,0.0,4,1462.8425,8,1373.9464,35.799381,0.74788678,4100,3400,7500
51,45052,47285,2003,3/7/2003,61,0.0,17,1554.1516,21,,,0.49973297,3500,3000,6500
52,45053,32461,1991,12/21/1990,26,0.0,15,1440.5874,30,1348.4811,,0.75135517,5300,200,5500
53,45054,60532,2014,10/30/2013,1,0.0,18,,7,,,0.68736178,8500,1500,10000
54,45055,62225,2015,12/18/2014,25,0.0,5,1592.4015,1,1396.5139,50.256187,0.8459608000000001,3000,3300,6300
55,45056,7492,1967,3/1/1967,72,0.0,32,1338.6444,31,1486.7101,,0.43126589,9200,5400,14600
56,45057,12349,1972,12/3/1971,24,0.0,9,,12,1507.7802,23.070099,0.29793072,7000,3500,10500
57,45058,1823,1951,2/18/1951,52,0.0,33,,35,,43.146935,0.4088074,7500,2700,10200
58,45059,18309,1977,12/17/1976,27,0.0,4,1549.5748,12,1556.1588,45.123142,0.63128787,6600,3800,10400
59,45060,59113,2012,4/25/2012,65,0.0,1,1561.844,20,1597.1853,47.647461,0.59199178,9400,4000,13400
60,45061,57568,2011,2/4/2011,47,0.0,21,1371.8212,13,1687.2535,,0.22441363,8400,4400,12800
61,45062,39796,1997,1/11/1997,36,0.0,48,1257.6721,21,1391.9144,,0.45088029,6900,2200,9100
62,45063,29754,1988,4/19/1988,80,0.0,16,1614.8282,14,,,0.74262047,7100,1500,8600
63,45064,42517,1999,5/2/1999,48,0.0,13,1672.0795,17,1659.7046,58.635493999999994,0.65630746,7400,5200,12600
64,45065,47018,2003,1/25/2003,44,0.0,27,1477.6427,24,1559.1229999999994,37.382633,0.52662671,6400,3100,9500
65,45066,43541,2000,3/17/2000,64,0.0,7,1406.394,0,1456.882,29.288684999999997,0.57077515,6100,3400,9500
66,45067,29625,1988,3/26/1988,68,0.0,1,1472.5081,0,1643.2271,36.818424,0.39960977,8600,2400,11000
67,45068,42000,1999,2/28/1999,15,0.0,2,1616.7745,11,1513.8057,,0.76285255,3600,3500,7100
68,45069,37002,1995,11/25/1994,9,0.0,21,,16,,,0.44882387,3500,3800,7300
69,45070,16402,1975,2/9/1975,54,0.0,0,1682.0247,1,1438.8046,,0.87822562,5000,3700,8700
70,45071,49039,2005,11/15/2004,7,0.0,10,,12,1451.4681,38.81868,0.66325653,8700,2000,10700
71,45072,34405,1992,4/17/1992,81,0.0,12,1585.6667,20,1556.3661,51.536910999999996,0.67793858,4700,1500,6200
72,45073,30254,1989,1/7/1989,29,0.0,14,,9,1557.2286,,0.61825961,8500,3900,12400
73,45074,15449,1974,3/12/1974,76,0.0,3,1576.3606,12,1573.6292,51.581028,0.64367938,5000,1000,6000
74,45075,45847,2002,2/13/2002,48,0.0,8,1553.6182,10,1376.1991,44.404247,0.83159202,5700,5000,10700
75,45076,34341,1992,4/8/1992,77,0.0,12,1587.3038,18,1233.1563,51.186035,0.93177521,4200,4100,8300
76,45077,19859,1978,4/9/1978,82,0.0,0,1447.8157,41,1369.2543,35.932377,0.73650509,5600,3700,9300
77,45078,5871,1963,2/13/1963,60,0.0,1,,31,1542.4619,25.88728900000001,0.35938138,5000,1100,6100
78,45079,11926,1971,3/28/1971,85,1.0,7,,1,1528.4939,43.962368,0.58085471,3300,1300,4600
79,45080,33461,1992,11/22/1991,11,0.0,4,1527.1892,7,,,0.67207432,8300,4800,13100
80,45081,58230,2012,1/4/2012,7,0.0,23,,27,,49.721676,0.87831014,8000,5100,13100
81,45082,25515,1984,3/9/1984,62,0.0,4,1581.7665,14,1496.0328,49.766705,0.74443883,3400,1300,4700
82,45083,12525,1972,12/28/1971,37,0.0,3,1349.6185,1,1574.8265,29.137696999999996,0.32722670000000004,4400,3900,8300
83,45084,32414,1991,12/14/1990,21,0.0,5,1645.0154,20,1420.6278,57.449622999999995,0.86614847,7700,3700,11400
84,45085,52937,2008,11/6/2007,3,0.0,1,1421.6368,16,1563.4261,33.718178,0.44014871,4500,2100,6600
85,45086,7368,1967,1/15/1967,45,0.0,3,,2,1460.0593,,0.50216466,7600,4300,11900
86,45087,55682,2010,11/18/2009,11,0.0,4,1452.269,37,1451.5355,36.033783,0.64103723,3000,2200,5200
87,45088,55009,2009,2/18/2009,56,0.0,26,1450.3937,10,,34.715286,0.31644583,3400,3100,6500
88,45089,35013,1993,1/26/1993,35,0.0,23,1469.2424,7,1436.4393,39.228481,0.68232477,6300,4700,11000
89,45090,6035,1964,11/13/1963,11,0.0,0,1675.0293,2,1549.0878,58.920207999999995,0.78593999,9000,2700,11700
90,45091,2195,1952,2/24/1952,54,0.0,33,1597.8446,0,,,0.71969354,6200,3100,9300
91,45092,54168,2008,5/8/2008,91,1.0,0,1701.6603,10,1527.9272,60.651832999999996,0.82859951,8800,1400,10200
92,45093,21800,1980,4/14/1980,89,1.0,11,1497.0770000000002,0,1688.9923,39.219242,0.37072521,6200,2500,8700
93,45094,7452,1967,2/12/1967,61,0.0,31,1483.7711,28,,41.698116,0.67753369,9100,3100,12200
94,45095,20522,1979,2/11/1979,55,0.0,6,,10,1440.516,48.17947,0.78330928,6000,1100,7100
95,45096,42370,1999,4/14/1999,38,0.0,4,1514.0995,26,,43.495274,0.74200094,9400,200,9600
96,45097,62273,2015,12/25/2014,29,0.0,5,1625.2941,2,1414.4471,53.63607,0.8568511000000001,6700,2600,9300
97,45098,60631,2014,11/11/2013,8,0.0,4,1449.9160000000006,13,1690.4374,,0.30812368,7300,4100,11400
98,45099,36818,1994,5/8/1994,87,1.0,1,,5,1595.3959,,0.72861129,8800,2900,11700
99,45100,26086,1985,12/14/1984,24,0.0,3,1565.2439,15,,,0.83562547,9100,1800,10900
100,45101,33408,1992,11/14/1991,7,0.0,10,1456.4708,14,,38.250778000000004,0.53863525,5700,2900,8600
101,45102,17291,1976,12/29/1975,31,0.0,5,1406.8496,1,1444.9124,32.707909,0.58820248,5100,600,5700
102,45103,6235,1964,2/6/1964,56,0.0,39,1588.3372,3,1336.6061,,0.88336891,6200,5000,11200
103,45104,47299,2003,3/9/2003,63,0.0,1,1471.8777,27,1463.7036,,0.65083236,8000,200,8200
104,45105,16712,1975,3/25/1975,77,0.0,10,1444.4172,0,1664.6042,,0.3336212,6300,2300,8600
105,45106,57135,2011,12/6/2010,22,0.0,17,,29,1443.0320000000006,52.60394300000001,0.82673979,4200,3300,7500
106,45107,40995,1998,1/2/1998,30,0.0,13,1481.1403,9,1580.1282,41.06648300000001,0.5014565,9200,4300,13500
107,45108,39663,1997,12/21/1996,23,0.0,13,1431.3446,6,,35.847061,0.56497359,7400,5400,12800
108,45109,56583,2010,3/24/2010,70,0.0,26,1438.8595,17,,33.081352,0.33946177,3900,4900,8800
109,45110,3914,1957,3/25/1957,78,1.0,35,1506.1139,31,,38.144051,0.60878927,3100,500,3600
110,45111,3919,1957,4/9/1957,80,1.0,0,1632.144,31,1538.7682,52.852084999999995,0.75271791,3200,4000,7200
111,45112,35144,1993,2/15/1993,52,0.0,10,1650.4524,15,1478.6287,,0.82703292,6400,700,7100
112,45113,19214,1978,12/7/1977,22,0.0,3,1428.6261,6,1541.4559,32.535126,0.48154476,8400,2900,11300
113,45114,22961,1982,11/25/1981,13,0.0,13,1565.5211,2,,45.806629,0.6037726999999999,8000,3700,11700
114,45115,22294,1981,1/4/1981,42,0.0,19,1365.2814,15,,27.145016,0.40286189,8900,2700,11600
115,45116,34226,1992,3/21/1992,68,0.0,17,1626.6655,9,,56.05556899999999,0.54293573,6000,1600,7600
116,45117,42247,1999,3/30/1999,31,0.0,1,,15,1618.0723,44.83062,0.51700336,7300,3300,10600
117,45118,57434,2011,1/17/2011,40,0.0,4,1472.0004,37,,38.070141,0.68740118,4600,5400,10000
118,45119,2361,1953,12/6/1952,18,0.0,34,1429.0765,33,1593.3699,32.041595,0.40851632,5900,4000,9900
119,45120,34611,1993,11/23/1992,10,0.0,21,1436.5652,14,1589.4343,35.84948,0.42449707,4000,3800,7800
120,45121,42276,1999,4/3/1999,34,0.0,2,1631.0793,12,1404.4929,52.958687,0.86760914,6500,3600,10100
121,45122,51472,2006,4/18/2006,82,0.0,21,1590.4493,14,1475.1516,50.729023,0.77545142,6800,1900,8700
122,45123,33381,1992,11/9/1991,5,0.0,21,1386.1323,24,1401.3220000000001,,0.61968404,3900,200,4100
123,45124,32611,1991,1/15/1991,36,0.0,15,1448.5984,7,1549.0637,36.093548,0.49933034,4400,4400,8800
124,45125,26442,1985,2/20/1985,55,0.0,3,1608.5043,8,1660.2694,51.44125,0.568973,4900,5300,10200
125,45126,20947,1980,10/25/1979,7,0.0,17,,5,,27.534247999999998,0.49920544,7900,5400,13300
126,45127,17316,1976,1/3/1976,35,0.0,10,,3,1422.3392,,0.76938027,5300,1400,6700
127,45128,34798,1993,12/22/1992,25,0.0,19,1485.6262,0,1514.7529,39.526337,0.60060328,8200,900,9100
128,45129,52811,2007,4/22/2007,83,1.0,10,,27,,,0.81251353,4500,4200,8700
129,45130,45230,2002,11/11/2001,6,0.0,3,1491.1753,9,1521.3995,39.255783,0.59908682,4100,3200,7300
130,45131,53887,2008,3/18/2008,67,0.0,11,,0,1688.8499,57.99052800000001,0.65111625,3300,200,3500
131,45132,20638,1979,3/7/1979,67,0.0,50,1381.0695,9,1517.64,,0.44756424,4300,5300,9600
132,45133,1725,1951,1/11/1951,37,0.0,40,1470.6913,33,1532.2761,38.857445,0.55505967,3400,1900,5300
133,45134,12741,1972,1/28/1972,50,0.0,2,1715.7095,11,1439.6045,64.92498,0.89706534,5000,2400,7400
134,45135,44295,2001,12/28/2000,27,0.0,21,1617.4341,30,1630.8579,53.333267000000006,0.62207681,7600,2400,10000
135,45136,4699,1960,1/10/1960,39,0.0,1,1494.9258,34,1608.2136,37.9907,0.48088658,5900,2100,8000
136,45137,12952,1972,2/26/1972,69,0.0,58,1443.8865,47,1504.765,40.811455,0.55606359,3700,1500,5200
137,45138,48469,2004,2/21/2004,54,0.0,8,,20,1445.6639,,0.72318608,6400,700,7100
138,45139,52412,2007,2/25/2007,56,0.0,24,,27,1516.4028,,0.55385268,6100,4100,10200
139,45140,13247,1972,5/9/1972,100,1.0,47,1520.6759,49,1502.0457,48.6147,0.66438353,3600,200,3800
140,45141,37412,1995,1/28/1995,39,0.0,14,1699.2578,2,,58.884163,0.83131385,6500,3100,9600
141,45142,37222,1995,12/30/1994,26,0.0,3,,0,,,0.52953458,8100,1000,9100
142,45143,1079,1950,12/3/1949,14,0.0,59,1488.1824,34,1403.6295,45.511856,0.7431435000000001,8500,4400,12900
143,45144,44385,2001,1/11/2001,36,0.0,19,1377.1512,23,1458.0901,27.17155300000001,0.52740371,8300,1000,9300
144,45145,51497,2006,4/24/2006,84,1.0,22,1570.2698,5,1542.4705,48.908924,0.6760487,7000,4700,11700
145,45146,12375,1972,12/7/1971,26,0.0,58,,51,1495.9027,,0.48872176,4600,4400,9000
146,45147,4197,1958,3/7/1958,68,0.0,31,1559.6245,33,1579.858,45.770683,0.61281794,6800,1900,8700
147,45148,22760,1981,3/29/1981,82,0.0,6,1585.8693,17,1319.3795,,0.89184093,5300,900,6200
148,45149,21103,1980,11/24/1979,23,0.0,5,1398.807,12,1492.7383,29.530531,0.50873274,5500,600,6100
149,45150,2768,1954,12/26/1953,26,0.0,43,1613.4812,1,1586.6862,50.648468,0.67478132,9100,100,9200
150,45151,42403,1999,4/18/1999,40,0.0,13,1633.7783,11,1557.2531,,0.73422414,3700,3200,6900
151,45152,15529,1974,3/23/1974,81,0.0,53,,49,1580.0603,,0.38873181,7400,5400,12800
152,45153,47356,2003,3/18/2003,67,0.0,0,,19,,42.842625,0.59064376,8400,2900,11300
153,45154,39506,1997,11/29/1996,13,0.0,17,,20,1419.3607,59.006083999999994,0.88423127,4700,1800,6500
154,45155,62041,2015,11/23/2014,14,0.0,29,1630.9181,20,1621.8589,54.658779,0.6519894,8700,3500,12200
155,45156,35258,1993,3/6/1993,58,0.0,19,1518.5128,16,1448.558,,0.72677845,5900,3600,9500
156,45157,25806,1984,5/23/1984,98,1.0,0,1702.0179,8,1621.1891,60.72165699999999,0.7390303,8400,2100,10500
157,45158,21376,1980,1/15/1980,48,0.0,1,1486.1514,10,1449.9279999999999,,0.68657702,8100,3700,11800
158,45159,3501,1956,2/6/1956,48,0.0,40,1546.4421,33,1542.7595,,0.64493418,6400,1900,8300
159,45160,32118,1990,5/15/1990,91,1.0,2,1670.0245,6,,58.966129,0.68096745,4600,3000,7600
160,45161,26923,1986,11/12/1985,8,0.0,2,1709.2642,17,,61.043251,0.84832191,8300,1400,9700
161,45162,19467,1978,1/27/1978,47,0.0,50,,36,1418.1595,37.196609,0.69183904,7500,3700,11200
162,45163,50500,2006,12/4/2005,17,0.0,21,1500.1372,24,,,0.58076334,4000,3800,7800
163,45164,28953,1988,11/22/1987,9,0.0,9,1507.3359,15,1521.1293,,0.62157661,6600,2500,9100
164,45165,32907,1991,3/3/1991,58,0.0,2,1690.0601,11,1559.2439,,0.79062295,6400,3900,10300
165,45166,30960,1989,6/11/1989,96,1.0,2,1693.0336,3,,60.19901700000001,0.53032118,3900,3100,7000
166,45167,56049,2010,1/9/2010,35,0.0,3,1375.8593,4,1411.7085,,0.59128535,4700,1100,5800
167,45168,62301,2015,12/28/2014,31,0.0,16,1470.5466,26,1624.2919,36.359318,0.42326549,4200,5400,9600
168,45169,58577,2012,2/15/2012,30,0.0,1,1497.7068,21,,40.968975,0.74762106,6700,1600,8300
169,45170,48222,2004,1/15/2004,38,0.0,29,1515.9492,5,,42.782024,0.81291282,6900,1000,7900
170,45171,4636,1960,12/10/1959,23,0.0,34,1576.0796,28,1351.7946,,0.86607999,6500,1000,7500
171,45172,62120,2015,12/4/2014,20,0.0,1,,10,1501.1912,31.845974,0.52961946,8700,3100,11800
172,45173,57812,2011,3/13/2011,65,0.0,10,1280.6381,42,1606.2322,19.407034,0.21439667,5000,3400,8400
173,45174,48702,2004,3/24/2004,73,0.0,23,1325.2444,22,1522.0282,22.756451000000002,0.36421123,4500,5100,9600
174,45175,25391,1984,2/16/1984,53,0.0,44,1392.1586,11,1428.0132,28.556185,0.59127784,3200,3400,6600
175,45176,8739,1969,11/19/1968,12,0.0,4,,6,1293.7159,55.304581000000006,0.90444028,8900,1000,9900
176,45177,33488,1992,11/26/1991,14,0.0,21,,6,,,0.36877134,6200,3900,10100
177,45178,32784,1991,2/13/1991,48,0.0,2,1691.7233,24,,61.020340000000004,0.91998267,4900,600,5500
178,45179,29330,1988,2/2/1988,41,0.0,9,1568.4012,7,1630.0195,48.216305,0.55501211,3400,3800,7200
179,45180,18194,1977,11/26/1976,17,0.0,4,1557.8677,1,1486.8475,,0.7279945,9300,4000,13300
180,45181,34861,1993,1/2/1993,27,0.0,21,1415.6436,4,1416.707,,0.63865346,6800,1800,8600
181,45182,8478,1968,3/18/1968,81,0.0,14,1325.8943,3,1421.1482,,0.50682974,6400,4800,11200
182,45183,12066,1972,10/22/1971,4,0.0,32,1474.6997,1,,,0.62261093,5400,1700,7100
183,45184,32717,1991,1/31/1991,44,0.0,11,1527.5399,14,1483.5828,44.571865,0.69607657,7000,100,7100
184,45185,23822,1983,10/30/1982,2,0.0,12,,11,1503.7484,,0.69401151,3900,2000,5900
185,45186,46314,2002,4/17/2002,82,0.0,12,1312.501,20,1493.8892,23.275885,0.38496944,4300,3600,7900
186,45187,892,1949,3/9/1949,53,0.0,35,,0,1374.8768,,0.87598884,3300,600,3900
187,45188,31148,1990,12/1/1989,13,0.0,15,,23,1372.4742,46.929722,0.81547672,3000,3400,6400
188,45189,33911,1992,2/1/1992,46,0.0,6,1625.6204,11,1474.8501,55.088772,0.80900371,6700,1800,8500
189,45190,61476,2014,3/11/2014,64,0.0,3,,21,1426.3005,,0.5711022,7600,4800,12400
190,45191,60684,2014,11/19/2013,12,0.0,11,,0,,48.337253999999994,0.78430247,7800,1800,9600
191,45192,22916,1982,11/17/1981,10,0.0,18,1287.3403,13,1576.0366,20.547801999999997,0.25233015,3900,5300,9200
192,45193,33844,1992,1/22/1992,36,0.0,12,,7,1520.7994,52.500713,0.73378402,6500,3400,9900
193,45194,58530,2012,2/10/2012,27,0.0,29,1571.2129,15,,,0.64143425,6300,400,6700
194,45195,13669,1973,12/15/1972,30,0.0,49,1396.2859,45,,33.344349,0.40843669,8600,2300,10900
195,45196,36037,1994,12/30/1993,27,0.0,3,,21,1337.1633,30.495684000000004,0.72661811,7900,1900,9800
196,45197,47105,2003,2/11/2003,49,0.0,11,1499.6342,17,1598.6027,40.189533000000004,0.50148445,5700,2400,8100
197,45198,42395,1999,4/17/1999,39,0.0,17,,2,1588.6753,60.000305000000004,0.7583555000000001,4600,3000,7600
198,45199,31256,1990,12/19/1989,24,0.0,3,,14,1538.5232,58.062732999999994,0.76659983,5500,4900,10400
199,45200,33117,1991,4/3/1991,72,0.0,14,1510.0021,21,1324.5039,44.030914,0.83800513,6700,900,7600
200,45201,50992,2006,2/10/2006,50,0.0,6,,21,1500.9509,,0.80591691,5300,2800,8100
201,45202,5848,1963,2/5/1963,57,0.0,28,,0,,41.299957,0.47527099,8000,1400,9400
202,45203,55583,2010,11/4/2009,5,0.0,21,1338.4919,7,1527.4158,24.13304500000001,0.37475133,8400,2200,10600
203,45204,44428,2001,1/17/2001,39,0.0,19,1369.6725,27,,28.576472999999996,0.69574946,8900,2100,11000
204,45205,45514,2002,12/22/2001,27,0.0,1,1453.8021,27,1459.7422,35.43259000000001,0.63215023,3500,4600,8100
205,45206,59924,2013,2/4/2013,48,0.0,42,,18,,59.995777000000004,0.85472906,3400,3000,6400
206,45207,8182,1968,1/31/1968,52,0.0,0,1548.6805,5,1345.524,,0.85133487,4100,3700,7800
207,45208,17133,1976,12/3/1975,19,0.0,8,1449.2437,9,1483.2382,38.982445,0.59386301,4500,3100,7600
208,45209,43984,2001,11/14/2000,8,0.0,13,1611.5739,17,,52.808147,0.68134135,6300,3700,10000
209,45210,47023,2003,1/26/2003,42,0.0,1,1440.6903,6,1560.1858,35.569046,0.47197315,8400,4600,13000
210,45211,12408,1972,12/11/1971,28,0.0,3,1372.0077,4,1400.8539,31.192954999999998,0.60099059,4200,5000,9200
211,45212,40884,1998,12/16/1997,22,0.0,22,1620.6628,17,1612.2184,,0.65118599,5400,3500,8900
212,45213,57958,2011,4/1/2011,75,0.0,21,,16,1628.2106,31.782125,0.34965050000000003,3000,1100,4100
213,45214,51295,2006,3/26/2006,70,0.0,24,1432.3298,1,1319.4487,34.338177,0.77301985,4100,1700,5800
214,45215,25476,1984,3/2/1984,61,0.0,18,1495.7545,36,,,0.67576611,6200,600,6800
215,45216,19176,1978,11/30/1977,19,0.0,0,1464.8058,5,1579.7474,37.84251,0.47851047,6000,200,6200
216,45217,1841,1951,2/25/1951,55,0.0,33,1522.4705,1,1543.3502,43.998131,0.6119349000000001,9200,4200,13400
217,45218,32839,1991,2/22/1991,53,0.0,7,1521.4484,2,1695.9396,46.152271,0.39441149999999997,8000,3500,11500
218,45219,38446,1996,12/30/1995,28,0.0,22,1451.6394,20,1405.7015,37.915569,0.69848329,7700,400,8100
219,45220,24584,1983,3/20/1983,68,0.0,14,1556.2937,5,1432.3693,47.346718,0.78398001,5700,4400,10100
220,45221,32451,1991,12/19/1990,22,0.0,6,,24,1350.8844,55.821461,0.89886916,5200,5200,10400
221,45222,45479,2002,12/18/2001,23,0.0,22,1405.3555,17,1523.0497,28.684427000000003,0.47455797,4300,5300,9600
222,45223,5540,1962,3/4/1962,74,0.0,0,,31,1425.3662,56.856880000000004,0.86223525,4400,4300,8700
223,45224,23370,1982,2/12/1982,49,0.0,36,1398.1405,17,1356.6084,28.731066,0.69311529,9300,1100,10400
224,45225,6979,1966,1/25/1966,47,0.0,1,1391.5758,3,1374.1639,30.829321000000004,0.6628179,9300,1300,10600
225,45226,43481,2000,3/8/2000,61,0.0,23,1497.719,5,1310.5211,41.540015999999994,0.8393290000000001,3700,500,4200
226,45227,20382,1979,1/14/1979,47,0.0,8,1496.9592,5,1439.3491,,0.71244258,5300,700,6000
227,45228,26225,1985,1/10/1985,35,0.0,36,,18,1551.2767,34.136536,0.48964359999999996,7300,200,7500
228,45229,19931,1979,10/15/1978,2,0.0,50,,8,1516.4208,36.570538,0.58305383,9000,600,9600
229,45230,15337,1974,2/24/1974,65,0.0,2,1484.8711,5,,,0.47120795,6400,3700,10100
230,45231,59334,2013,11/16/2012,10,0.0,3,1422.5892,23,1421.3483,31.680658,0.64170909,7400,4400,11800
231,45232,28150,1987,12/27/1986,27,0.0,21,1416.1223,4,,31.379634999999997,0.498355,8000,800,8800
232,45233,32388,1991,12/9/1990,20,0.0,8,1537.7651,14,1423.2804,46.848083,0.77463549,8600,1500,10100
233,45234,34663,1993,12/1/1992,14,0.0,21,1419.1978,2,,,0.54351789,3600,500,4100
234,45235,36788,1994,4/28/1994,83,1.0,13,1628.264,17,1615.5739,55.188999,0.65671676,8600,4000,12600
235,45236,49873,2005,3/14/2005,63,0.0,7,1273.2905,3,1616.9806,19.618357,0.19737332,9100,4500,13600
236,45237,27244,1986,1/11/1986,33,0.0,18,,12,,42.59473,0.80897379,3600,2400,6000
237,45238,58078,2011,4/22/2011,85,1.0,7,1456.017,23,1623.2227,36.863892,0.40447173,3100,1200,4300
238,45239,36777,1994,4/24/1994,82,0.0,18,1247.9354,24,1265.0383,18.632099,0.61708504,7200,5200,12400
239,45240,61454,2014,3/8/2014,64,0.0,20,1685.1993,7,1432.6713,,0.88384074,8600,5200,13800
240,45241,21477,1980,2/6/1980,54,0.0,0,1621.4177,4,1636.2274,54.033527,0.62019944,8000,100,8100
